University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
Virginia Tech,"Translational Biology, Medicine, and Health","$34,500",1.64,2020-2021,5th,"Health insurance is $40 a month, has limited vision and dental is not included. Got a raise after getting an external fellowship. Student fees are paid by the program. Living in Roanoke, not Blacksburg, so rent is cheaper."
Columbia University (CU),Epidemiology,"$42,000",1.41,2021-2022,1st,
Fordham University (FU),Psychology,"$23,500",0.79,2021-2022,3rd,"We receive tuition remission, no dental or vision insurance."
University of Rochester (UR),Psychology,"$21,000",0.98,2021-2022,4th,"The required fees are for health insurance, unless you are still able to be on your parents or sign up for medicaid"
Old Dominion University (ODU),Educational Foundations & Leadership,"$17,900",0.67,2020-2021,5th,
Massachusetts Institute of Technology (MIT),Chemical engineering,"$58,000",2.08,2020-2021,2nd,
Michigan State University (MSU),"Counseling, Educational Psychology, and Special Education","$26,500",1.29,2021-2022,4th,
University of Denver (DU),Psychology,"$21,600",0.96,2021-2022,5th,
Purdue University - West Lafayette,Psychological Sciences,"$24,500",1.16,2021-2022,3rd,Paid by a grad assistantship outside the department. Departmental stipend is lower.
Lehigh University,Materials Science,"$34,300",1.53,2020-2021,1st,
University of Louisville (U of L),Psychological and Brain Sciences,"$21,500",1.04,2021-2022,1st,
Massachusetts Institute of Technology (MIT),Biological Engineering,"$44,700",1.60,2020-2021,5th,
Stanford University (SU),Genetics,"$47,280",1.65,2020-2021,3rd,
European Molecular Biology Laboratory,EMBL-EBI,"$28,306",,2019-2020,3rd,
European Molecular Biology Laboratory,EMBL-EBI,"$1,770",,2019-2020,3rd,
Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,"$25,650",1.10,2020-2021,5th,Required fees include the mandatory health insurance which is approximately $650 for the year
Tufts University (TU),Psychology,"$28,000",1.00,2020-2021,4th,"Summer/other are on your own to get. It’s an internal grant you apply for, and can get rejected."
University of California - Los Angeles (UCLA),Psychology,"$30,000",1.16,2021-2022,3rd,
Pennsylvania State University (Penn State),Industrial Engineering,"$33,207",1.48,2021-2022,3rd,
National Institutes of Health (NIH),National Cancer Institute,"$52,600",1.74,2021-2022,2nd,GPP with UMD
University of Chicago (UC),Psychology,"$32,000",1.32,2022-2023,5th,
Michigan State University (MSU),Kinesiology,"$15,300",0.75,2017-2018,3rd,
Yale University (YU),School of the Environment,"$33,600",1.36,2020-2021,4th,
Yale University (YU),MMPP,"$39,200",1.59,2022-2023,1st,
Stanford University (SU),Psychology,"$47,000",1.64,2020-2021,1st,
Arizona State University (ASU),Astrophysics,"$26,524",1.20,2022-2023,1st,Also includes waived tuition and health insurance coverage
University of Pittsburgh,Bioengineering,"$29,970",1.45,2020-2021,3rd,
University of Washington (UW),Computer Science and Engineering,"$8,100",0.35,2020-2021,2nd,
University of Wisconsin - Madison (UW),Astronomy,"$32,420",1.42,2020-2021,4th,
University of California - Los Angeles (UCLA),Psychology,"$26,840",1.04,2020-2021,4th,
University of Wisconsin - Madison (UW),Astronomy,"$27,200",1.19,2020-2021,5th,
University of Illinois - Chicago (UIC),Psychology,"$22,615",0.93,2020-2021,1st,
University of Rochester (UR),Psychology,"$23,000",1.08,2019-2020,,estimate
Stony Brook University - SUNY,Clinical psychology,"$22,350",0.80,2020-2021,4th,
University of Washington (UW),Computer Science and Engineering,"$28,116",1.21,2020-2021,1st,
University of Wisconsin - Madison (UW),Scandinavian Studies,"$22,740",1.00,2021-2022,1st,"University Fellowship. Rent 1000-1200/month unless you share with 4 roommates, then 500-800. Insurance premiums ~25/month, taxes not withheld, COL is in my opinion rapidly rising and comparable to what I've seen in Seattle. There are extra work opportunities and funding, but they are variable."
University of Wisconsin - Madison (UW),GNS+,"$22,740",1.00,2021-2022,1st,
Iowa State University (ISU),Psychology,"$18,600",0.88,2020-2021,1st,
University of Oregon (UO),Psychology,"$2,820",0.13,2020-2021,3rd,
