University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
Columbia University,Applied Physics,"$41,000",,2021-2022,1st,Pre-tax
University of Virginia (UVA),Special Education,"$20,000",0.88,2022-2023,1st,
Followhind University,Geology,"$42,700",,2020-2021,4th,
University of Wyoming (UW),Civil engineering,"$23,145",1.11,2020-2021,1st,
San Diego State University (SDSU),Black History,"$6,942,069",262.32,2020-2021,,
University of Georgia (UGA),Poultry Science,"$18,325",0.87,2021-2022,1st,
Harvard University (HU),Organismic and Evolutionary Biology,"$41,000",1.43,2020-2021,,
Georgia State University (GSU),mathematics & statistics,"$20,000",0.86,2021-2022,3rd,You need to pay health insurance and seg fees.
University of Notre Dame (ND),Economics,"$24,928",1.22,2021-2022,1st,Insurance payment waived
University of Wisconsin - Madison (UW),art history,"$26,500",1.16,2021-2022,6th and up,
Florida International University (FIU),Chemistry,"$23,400",0.98,2020-2021,2nd,
University of California - Berkeley,Molecular and Cell Biology,"$39,000",1.40,2021-2022,6th and up,
CUNY Graduate School and University Center,Health Psychology & Clinical Science,"$25,800",0.87,2021-2022,1st,"12 month stipend; there are a few different packages that vary in terms of teaching/TAing load, and insurance is heavily subsidized."
St Jude Graduate School of Biomedical Sciences,Biomedical Sciences (PhD),"$46,000",,2021-2022,2nd,"Stipend is paid by the Graduate School, not your dissertation lab. No TA requirement. As of Oct 2021, stipend reflects gross pay starting in year 2. Year 1 stipend is ~$39,000 (taxes not withheld). Health, dental and vision insurance is provided free of cost (no premium) to students, spouses and eligible dependents. Laptops are provided for duration of studies. Students also receive a lab rotation allowance, yearly travel allowance ($2500), yearly lab supply allowance ($15-20k), and a professional development account ($5000) for external courses. We are likely the top funded program in the country. This is how graduate students should be paid. Make sure you confirm these benefits in writing after receiving an acceptance offer."
University of California - Berkeley,Department of Greek and Roman Studies,"$34,000",1.22,2021-2022,5th,"New amount this year. Taxes not withheld unless working as a GSI and receiving a W-2. Base summer stipend is $3K, summer teaching pays more. Student fees and campus health insurance premiums covered by department."
Temple University (TU),CIS,"$27,617",1.15,2020-2021,1st,
Rutgers the State University of New Jersey - New Brunswick,Nutritional Science,"$31,800",1.23,2021-2022,4th,This does not include tax
University of Southern California (USC),Chemical Engineering,"$34,000",1.31,2021-2022,5th,
Boston University (BU),Rehabilitation Sciences,"$36,000",1.26,2020-2021,1st,
Boston University (BU),Rehabilitation Sciences,"$36,000",1.26,2020-2021,5th,
University of Southern California (USC),Occupational Science,"$40,000",1.55,2020-2021,5th,
University of Southern California (USC),Occupational Science,"$40,000",1.55,2020-2021,5th,
Temple University (TU),Business,"$28,600",1.19,2021-2022,1st,Withholding tax is applicable
University of Michigan,Mechanical Engineering,"$28,452",,2016-2017,1st,
University of Arizona (U of A),Geography,"$19,060",0.92,2020-2021,4th,
,Health and biomedical informatics,,,2022-2023,1st,
Massachusetts Institute of Technology (MIT),Urban Studies and Planning,"$40,700",1.46,2021-2022,1st,
Southern Methodist University (SMU),Computer Science,"$24,000",1.11,2022-2023,1st,"2k/months, Health Insurance is awarded. Still too little compared with Hongkong."
Massachusetts Institute of Technology (MIT),Aero/Astro,"$41,856",1.50,2021-2022,4th,
Northwestern University (NU),Engineering Sciences and Applied Mathematics (ESAM),"$34,100",1.41,2021-2022,2nd,
Michigan State University (MSU),Biomedical Engineering,"$28,428",1.39,2020-2021,3rd,
Massachusetts Institute of Technology (MIT),Linguistics,"$41,760",1.50,2021-2022,5th,"pre-tax, 12-months"
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering,"$27,976",1.27,2020-2021,3rd,Cost of living very low => comfortably shop at organic grocer/specialty stores and live alone
Florida State University (FSU),Geography,"$23,000",0.99,2020-2021,5th,
California Institute of Technology (Caltech),,"$36,500",1.41,2020-2021,2nd,
Northwestern University (NU),history,"$35,000",1.44,2020-2021,,
University of North Carolina - Chapel Hill (UNC),"Earth, Marine and Environmental Sciences","$34,000",1.53,2020-2021,2nd,"I am funded by a NSF Graduate Research Fellowship. Cost of living (especially rent) is rising in the Chapel Hill/Durham/Raleigh area, but my fellowship + my spouse's income allow us to live very comfortably in Chapel Hill."
Uniformed Services University of the Health Sciences,,"$38,936",1.29,2020-2021,5th,
University at Albany - SUNY,Neuroscience,"$17,000",0.75,2020-2021,,
University of California - San Francisco (UCSF),,"$41,200",1.38,2020-2021,4th,
University of Tennessee - Knoxville,EEB/Anthropology,"$19,200",0.90,2021-2022,1st,
Imperial College London,Mathematics,"$32,000",,2021-2022,1st,
Virginia Tech,,"$21,030",1.00,2020-2021,,
University at Buffalo - SUNY,Psychology,"$26,000",1.24,2021-2022,4th,Also receive a $7500/year fellowship; this is the first year that fees are covered by the university
Stony Brook University - SUNY,Mathematics,"$25,000",0.90,2020-2021,3rd,
Princeton University,East Asian Studies,"$36,570",1.44,2020-2021,3rd,
,Neuroscience,"$30,761",,2020-2021,,
University of Rochester (UR),Neuroscience,"$30,761",1.44,2020-2021,,
Pennsylvania State University (Penn State),Education Policy Studies,"$37,200",1.66,2020-2021,3rd,
Duke University (DU),Immunology,"$33,000",1.48,2021-2022,5th,
University of California - Davis (UCD),English PhD,"$29,500",1.23,2020-2021,1st,
Northwestern University (NU),Learning Sciences,"$34,176",1.41,2021-2022,1st,
University of California - Los Angeles (UCLA),Education,"$32,430",1.25,2021-2022,1st,"I have a 49% graduate student researcher position, so that c overs the bulk of my tuition and healthcare. Thus my out-of-pocket mandatory is limited to student fees that come out to about 570 my first year and about 450 in subsequent years"
University of Iowa (UI),Biomedical Engineering / Medical Scientist Training Program (MSTP) (MD/PhD),"$31,000",1.40,2020-2021,3rd,My stipend is covered by my being an MSTP student rather than being a BME student.
,Immunology,"$34,794",,2020-2021,,This is the stipend set for the enter PIBS program at UMich.
University of Michigan - Ann Arbor (UM),Immunology,"$34,794",1.51,2020-2021,,This is the stipend set for the enter PIBS program at UMich.
Virginia Tech,Forestry,"$23,906",1.13,2020-2021,2nd,
University of South Carolina (USC),Management Science (Operations Management),"$19,540",0.87,2021-2022,1st,"This school requires students to pay some fees (a total of $480 per semester). For those fees, $1000 is paid as a one-time scholaship in the first semester of the program."
Texas Tech University (TTU),Computer Science,"$25,000",1.23,2020-2021,2nd,Insurance paid by students. After all pay I get 2150/month.
Northwestern University (NU),BME,"$34,167",1.41,2021-2022,1st,
University of Michigan - Ann Arbor (UM),Molecular Biology,"$34,792",1.51,2021-2022,1st,
North Carolina State University (NCSU),Computer Science,"$24,942",1.09,2020-2021,1st,
University of California - Riverside (UCR),Mechanical Engineering,"$3,781",0.16,2020-2021,1st,
Cornell University (CU),Chemistry & Chemical Biology,"$37,381",1.54,2021-2022,1st,
,,"$30,000",,2020-2021,,
University of Florida (UF),Engineering,"$23,700",1.04,2020-2021,,
Brown University,Neuroscience,"$38,007",1.67,2021-2022,1st,
Syracuse University,Chemistry,"$28,600",1.34,2020-2021,4th,
University of Illinois - Urbana- Champaign (UIUC),CS,"$22,482",1.02,2020-2021,1st,
Iowa State University (ISU),Anthropology,"$18,900",0.89,2020-2021,2nd,
University of Illinois - Chicago (UIC),Bioengineering,"$27,486",1.13,2020-2021,1st,
Virginia Tech,Forestry,"$20,204",0.96,2020-2021,2nd,
Michigan State University (MSU),Agricultural Economics,"$25,380",1.24,2021-2022,1st,
University of Southern California (USC),Marshall,"$36,000",1.39,2020-2021,1st,
USC,Industrial and Systems Engineering,"$32,000",,2021-2022,1st,
University of Virginia (UVA),Chemistry,"$27,000",1.18,2021-2022,1st,"20k during the academic year and 7k during the summer of 2022- Graduate Teaching Assistant for the first year (following years, your support is either teaching assistant, research assistant, or graduate fellowship)"
University of California - Santa Barbara (UCSB),Materials,"$40,739",1.55,2021-2022,1st,With NSF GRFP Fellowship
Purdue University - West Lafayette,Computer Science,"$28,142",1.33,2021-2022,1st,
Southern Methodist University (SMU),Geophysics,"$31,200",1.45,2021-2022,1st,I work solely as an RA under a government contract with the Air Force.
Southern Methodist University (SMU),earth sciences,"$31,200",1.45,2021-2022,1st,
Southern Methodist University (SMU),Earth Sciences,"$31,200",1.45,2020-2021,3rd,
University of California - San Diego (UCSD),Communication,"$34,000",1.28,2020-2021,,
University of California - San Diego (UCSD),Communication,"$32,000",1.21,2020-2021,,
University of South Carolina (USC),Physics,"$23,000",1.02,2019-2020,6th and up,
University of Rochester (UR),Linguistics,"$27,980",1.31,2020-2021,1st,
Stanford University (SU),Theater and Performance Studies,"$47,280",1.65,2021-2022,2nd,
University of Massachusetts - Lowell (UML),EE PhD,"$14,680",0.53,2019-2020,1st,
,management,"$24,500",,2019-2020,1st,
Georgia Institute of Technology (Georgia Tech),management,"$24,500",1.05,2019-2020,1st,
University of Pennsylvania,Biology,"$32,000",1.33,2021-2022,1st,
San Diego State University (SDSU),Ecology,"$22,800",0.86,2020-2021,4th,
,Anthropology,"$16,146",,2021-2022,4th,
University of Tennessee - Knoxville,Anthropology,"$16,146",0.76,2021-2022,4th,
Stanford University (SU),Engineering,"$49,600",1.73,2020-2021,1st,Stanford Graduate Fellowship.
University of Michigan - Ann Arbor (UM),SEAS,"$27,433",1.19,2020-2021,2nd,
University of Minnesota - Twin Cities (UM),Medical School,"$30,148",1.32,2020-2021,1st,
,Mph,"$16,500",,2020-2021,1st,
,Mph,"$16,500",,2020-2021,1st,
Texas A&amp;M; University - College Station,Mph,"$16,500",,2020-2021,1st,
University of Georgia (UGA),SPIA,"$27,200",1.29,2020-2021,1st,
Texas A&amp;M; University - College Station,Electrical and Computer Engineering,"$2,250",,2020-2021,,
North Carolina State University (NCSU),Plant Pathology,"$26,000",1.14,2021-2022,3rd,Fees are covered.
Johns Hopkins University (JHU),Chemistry,"$32,400",1.26,2020-2021,3rd,
University of Texas Southwestern Medical Center - Dallas,Neuroscience,"$35,000",1.62,2020-2021,4th,
University of Pennsylvania,Romance languages,"$37,555",1.56,2020-2021,3rd,
New York University (NYU),Tandon School of Engineering,"$39,000",1.31,2021-2022,2nd,
CUNY - City College,EE/phd,"$29,850",1.00,2020-2021,2nd,
Georgia State University (GSU),Psychology,"$19,000",0.82,2021-2022,1st,
Rice University,Economics,"$25,500",1.17,2020-2021,3rd,They force you to pay $600 to use the Rec Center. They also do not cover 1/3 of your health insurance.
Johns Hopkins University (JHU),Physics and Astronomy,"$33,333",1.30,2021-2022,1st,"Tution, Medical Insurance (supposedly good but not so great Dental/Vision) included. Also Summer Fellowship is included."
Northeastern University (NU),Physics,"$39,150",1.37,2018-2019,1st,
University of North Carolina - Charlotte (UNCC),Biological Sciences,"$18,624",0.81,2021-2022,1st,
Florida State University (FSU),Computer Science,"$16,300",0.70,2020-2021,2nd,"TA pay rate is roughly $23 per hour. $900+ student fee for each semester. The health insurance is getting more expensive every year. In 2021 Fall, you need to pay about $900 by yourself for the insurance."
NYU,MCC,"$32,000",,2020-2021,,
Virginia Tech,Nuclear Engineering,"$27,352",1.30,2021-2022,2nd,
University at Buffalo - SUNY,linguistics,"$20,000",0.95,2020-2021,2nd,"stipends raised to 20k, fees are now waived"
Syracuse University,Math,"$21,746",1.02,2021-2022,2nd,
North Carolina State University (NCSU),Psychology,"$16,060",0.76,2014-2015,1st,Annualized rate. Actual salary was $7000 per semester (fall/spring).
University of Pittsburgh,Katz Business School,"$23,730",1.15,2020-2021,2nd,
University at Buffalo - SUNY,computer engineering,"$-5,000",-0.24,2021-2022,2nd,
Massachusetts Institute of Technology (MIT),Mechanical Engineering,"$11,000",0.39,2022-2023,6th and up,
University of Massachusetts - Dartmouth (UMD),Chemistry/ Biochemistry,"$3,000",0.13,2020-2021,1st,
Northwestern University (NU),,"$34,176",1.41,2020-2021,1st,
Stanford University (SU),Material science,"$49,640",1.73,2020-2021,1st,
Columbia University (CU),Biology,"$40,000",1.35,2018-2019,3rd,Estimate.
University of Tennessee - Knoxville,English,"$18,300",0.86,2020-2021,6th and up,
mcgill university,science/chemistry,"$20,000",,2016-2017,1st,
Stanford University (SU),Chemical engineering,"$48,000",1.67,2021-2022,,
University of California - Berkeley,French,"$31,500",1.13,2020-2021,2nd,
Oklahoma State University (OSU),Counseling Psychology,"$9,554",0.49,2020-2021,3rd,"These stipends are not paid on 9 or 12 month basis, but vary per semester based on GA assignment. $1295 is the monthly salary for a .25FTE, which qualifies the student for a tuition waiver. The listed required fees are for one semester (Fall 2020)."
Georgia Institute of Technology (Georgia Tech),Aerospace,"$22,500",0.97,2020-2021,4th,
,Sociology,"$23,250",,2021-2022,1st,
University of Massachusetts - Boston (UMB),Sociology,"$23,250",0.81,2021-2022,1st,
University of Iowa (UI),Immunology,"$31,000",1.40,2021-2022,1st,
Indiana University,The media school,"$19,550",0.91,2021-2022,1st,
Purdue University - West Lafayette,Biochemistry,"$25,500",1.21,2020-2021,4th,
Case Western Reserve University,Molecular Medicine,"$32,000",1.60,2020-2021,2nd,
